Código;Descripción;ves
188492;acetato x lamina 30x22cm 0.15mm carta;540
LABCL;acetato x lamina 45x30cm 0,25mm doblecar;770
PSCH;acetato x lamina 60x45cm 0,15mm;1510
CP1;acetato x lamina 90x60cm 0.25mm;2770
26877-1;acuarela paleta artistica;795
DELB;acuarela pequeña 12colores c/ pincel;305
7,59E+12;agenda recordatorio 1001 POINTER;3815
FOAM;aguja coser mano carton agricola;170
AGJSRA;aguja coser mano carton señora;245
TABUG;aguja crochet;305
APR;aguja punta roma;160
7,59E+11;alfiler cabeza de colores;235
7,59E+12;almohadilla huellero redondo RD;890
CPX38;almohadilla PEQUEÑA CRISVI/SHAR sellos;940
736;animalitos de granja 19 pzas empaque;5085
7,59E+12;animalitos de granja pequeño estuche x6;2035
MTOVCA;ANIME arbolito con estrella navideño;370
7,59E+12;ANIME arbolito con estrella navideño 40C;790
4869;ANIME baston navideño;405
35816;anime circulo 15cm;115
CA20CM;anime circulo 20cm;210
CA25CM;anime circulo 25cm;325
CA30CM;anime circulo 30cm;455
JLP;anime circulo 35cm;610
3,15E+12;anime circulo 40cm;1075
AAHZP;anime circulo 45 cm;1245
7,59E+12;anime circulo 50 cm;1515
PGRTON;anime cono 20cm;325
CHASA;anime cono 30cm;655
7,59E+12;ANIME copo de nieve 25 cm;495
7,59E+12;ANIME estrella 20cm;385
CON1HRN;ANIME perla relleno 75gr+-;870
7,59E+12;ANIME ventana casa GDE navideña;1645
7,45E+12;ANIME ventana casa PEQ navideña;810
7,59E+12;archivador lomo ancho carta/oficio;1715
7,59E+12;archivador lomo ancho carta/oficio SHARK;1875
BDRE20;archivador oficio 8802;4690
7,59E+12;archivador oficio 9399;5890
710196661;arcilla x kilo;805
VECILPEQ;aserrin pintado/musgo artificial;375
MARTCAN;atomizador 30ml MINI;290
ESPEMED;atomizador 500ml GDE;750
2,02E+12;atomizador 60ml PEQ;410
6,94E+12;balon de basket;5065
PCS;balon de futbol;6170
6,93E+12;baraja española carton;335
PSAN;baraja UNO (108cartas);1490
7,60E+12;bidon 10 lts plegable;4780
7,59E+12;block carta CUADRICULADO 40h;950
7,59E+12;block carta rayado 40h;970
BCCTC;block construccion CRISVI 10 H;670
